Cargo Atual,Quant.
CCE-12 Assessor de Monit., Aval., e Part. Social (SMGS),1
CCE-12 Assessor de Políticas de Des. Local (SMDE),1
CCE-12 Assessor de Politicas Publicas de Educaçao,1
CCE-12 Assessor de Proj. Esp., Contratos e Convênios(Saúde),1
CCE-12 Assessor de Projetos Culturais (SMECICT),2
CCE-12 Assessor de Projetos Estrategicos (SMGS),1
CCE-12 Assessor de Recursos Humanos da Educação,1
CCE-12 Assessor do Programa Educ. Conexao Universitaria,1
CCE-12 Assessor Espec de Análise de Conformidades Processual,1
CCE-12 Assessor Espec de Compras e Órgão Gerenci da Educação,1
CCE-12 Assessor Especial de Gestão, Inov e Tecnol (SMGIT),1
CCE-12 Assessor Especializado de Contratos e Convêni da Educ,1
CCE-12 Assessor Especializado de Tec.Info. da Educacao,2
CCE-12 Assessor Especializado Operacional da Educação,5
CCE-12 Assessor Juridico,4
CCE-12 Assessor Proj. de Cap. de Rec. de Outros Entes (SMP),3
CCE-12 Diretor Adjunto do Fundo Municipal de Saude (SMS),1
CCE-12 Diretor de Comunicação em Redes Sociais (SMCS),1
CCE-12 Diretor de Comunicação Social (SMCS),1
CCE-12 Diretor de Departamento Administrativo (SMECICT),1
CCE-12 Diretor de Finanças do Desenvolvimento Social,1
CCE-12 Diretor de Gestão de Cadastros de Prog. Sociais(SMDS),1
CCE-12 Diretor de Políticas e Programas Sociais (SMDS),1
CCE-12 Diretor de Procedimentos Adm da Saude (SMS),1
CCE-12 Diretor de Projetos Esp,Contratos e Convenios(SMS),1
CCE-12 Diretor Geral de Obras e Medições (SMOI),1
CCE-12 Diretor Jurídico de Licitações (SMGIT),1
CCE-12 Diretor Tec. Orçamentos, Projetos e Obras Públicas,4
CCE-12 Diretor-Geral de Pub. e Atos Oficiais (SMG),1
CCE-13 Assessor de Protecao Social Basica (SMDS),1
CCE-13 Assessor de Protecao Social Especial (SMDS),1
CCE-13 Assessor Especial de Fiscalização (SMU),1
CCE-13 Assessor Juridico Especial (PGM),2
CCE-13 Coordenador Pedagógico,6
CCE-13 Dir Geral Centro de Capac Profis.José Carlos Cabral,1
CCE-13 Dir Geral do Centro de Capac Prof. Vinicius V. França,1
CCE-13 Diretor de Áreas Protegidas e Des. Sustentável (SMMA),1
CCE-13 Diretor de Controle Ambiental e Pós Licença (SMMA),1
CCE-13 Diretor de Esporte (SMELT),1
CCE-13 Diretor de Eventos (SMELT),1
CCE-13 Diretor de Gestão Ambiental de Obras Públicas (SMMA),1
CCE-13 Diretor de PLanejamento de Acoes Sociais,1
CCE-13 Diretor de Projetos Estratégicos (SMGS),1
CCE-13 Diretor de Turismo (SMELT),1
CCE-13 Diretor Geral de Obras Públicas,3
CCE-13 Diretor Op. de Media e alta Complexidade (SMS),1
CCE-14 Administrador Regional (SMTSP),8
CCE-14 Assessor de Compras (SMGIT),1
CCE-14 Assessor de Fiscalização de Procedimentos Adm (CGM),3
CCE-14 Assessor de Relacao Institucional (SMRI),1
CCE-14 Assessor de Segurança e Ordem Pública (SMSOP),1
CCE-14 Assessor de Transparencia e Integridade (SMTI),2
CCE-14 Assessor Especial de Demandas Institucionais (SMMA),1
CCE-14 Assessor Especial de Obras Públicas,1
CCE-14 Assessor-Chefe de Gabinete (SMRI),1
CCE-14 Comandante da Guarda Civil Municipal (SMSOP),1
CCE-14 Diretor Adjunto da Casa da Avaliacao,1
CCE-14 Diretor Adjunto da Casa de Formacao,1
CCE-14 Diretor Administrativo da Educação,1
CCE-14 Diretor Administrativo da Saúde,1
CCE-14 Diretor da Casa de Eventos da Educacao (SMECICT),1
CCE-14 Diretor de Almoxarifado da Educação (SMECICT),1
CCE-14 Diretor de Captacao de Recursos (SMP),1
CCE-14 Diretor de Controle Conform Proc da Educaçao,1
CCE-14 Diretor de Controle e Fiscalização da Saúde,1
CCE-14 Diretor de Estatística e Gestão do Sist. Educacional,1
CCE-14 Diretor de Eventos da Educacao (SMECICT),1
CCE-14 Diretor de Formação Pedag e Inspeção Escolar,1
CCE-14 Diretor de Integ. dos Inst. Orcamentarios (SMP),1
CCE-14 Diretor de Limpeza Urbana (SMTSP),1
