Tipo,Numero,Ano,Edicao,Ano_Edicao,Contratante,Contratada,CNPJ,Objeto,Valor
CONTRATO,191,2025,1833,8,Município de Saquarema.,"Dominios     Participações",52.968.361/0001-20.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",190050.00
CONTRATO,192,2025,1833,8,Município de Saquarema.,"LCJ Empreendimentos e Ser-",41.775.787/0001-,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",1441320.00
CONTRATO,193,2025,1833,8,Município de Saquarema.,"MHT  Distribuidora  e  Servi-",44.929.522/0001-48.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",101412.00
CONTRATO,194,2025,1833,8,Município de Saquarema.,"Santana Werneck Comercial",11.186.469/0001-83.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",87200.00
CONTRATO,195,2025,1833,8,Município de Saquarema.,"OP  Importados  -  Fabia-",26.427.828/0001-14.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",59688.00
CONTRATO,196,2025,1833,8,Município de Saquarema.,"Empresa  Inttech  Servi-",44.987.427/0001-09.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",187028.00
CONTRATO,197,2025,1833,8,Município de Saquarema.,"LM-X Serviços Combinados",50.982.466/0001-08.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",50240.00
CONTRATO,198,2025,1833,8,Município de Saquarema.,"PS Plataforma Digital LTDA",54.570.369/0001-69.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",7472.00
CONTRATO,199,2025,1833,8,Município de Saquarema.,"Santana  Comércio  de  Uti-",07.665.456/0001-10.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",13544.00
CONTRATO,200,2025,1833,8,Município de Saquarema.,"R&P Consultoria e Engenha-",57.748.174/0001-54.,"Aquisição de utensílios de cozi- nha para atender a demanda das unida- des pertencentes a Secretaria Municipal de Educação, Cultura, Inclusão, Ciência e Tecnologia.",8000.00
ATA_REGISTRO_PRECOS,006,2026,1833,8,Município de Saquarema,"Registro de Preços",,"Registro de preços para eventual contratação de aquisição de lixeiras tipo cesto, com guia de giro, para atender as necessidades de limpeza urbana do Mu- nicípio de Saquarema/RJ.",825000.00
ATA_REGISTRO_PRECOS,005,2026,1833,8,Município de Saquarema,"Registro de Preços",,"Registro de preços para futura e eventual contratação de empresa es- pecializada na locação de veículos auto- motores do tipo van, zero quilômetro, sem combustível e sem motorista, destinados ao atend",961200.00
TERMO_ADITIVO,116 (Aditivo 10),2021,1833,8,Município de Saquarema,"AMX Comércio e Represen-",26.726.146/0001-,"Repactuação do contrato nº",0.00
